ID;Active (0/1);Name;Parent category;Root category (0/1);Description
10;1;ŻYRANDOLE;Home;0;Żyrandole są specyficzną kategorią produktów oświetleniowych, zasługujących na dużą uwagę ze względu na swoją różnorodność stylów, kształtów oraz wielkości. Z uwagi na szereg właściwości, które cechują każdy żyrandol, przed samym zakupem warto zastanowić się nad tym, czego oczekujemy od oświetlenia oraz przede wszystkim, jakimi cechami powinien się odznaczać, by dopasować się do wybranej aranżacji wnętrza. Chodzi tutaj między innymi o dobór kolorystyczny – ciemna lub jasna tonacja, kolory monochromatyczne lub luksusowe podejście doboru barw, przejawiające się w wyborze złotych czy srebrnych opraw. Ponadto ważne jest, by wybrać żyrandol o takiej liczbie punktów świetlnych, która zapewni optymalne doświetlenie pomieszczenia, dlatego należy określić, jak dużą przestrzeń ma on oświetlać. Istotną kwestią jest także podkreślenie stylu wnętrza poprzez indywidualnie dobrany żyrandol, spełniający określone parametry, jeśli chodzi o stylistykę i kompozycję jego poszczególnych elementów. W ofercie sklepu Lumina Deco znajdziesz duży wybór żyrandoli. Oferujemy nowoczesne żyrandole oraz żyrandole klasyczne. Który z nich ozdobi Wasze wnętrze domu, biura, restauracji lub hotelu?
11;1;LAMPY WISZĄCE;Home;0;Lampy wiszące sprawdzają się świetnie właściwie w każdym pomieszczeniu. Są podstawowym sposobem oświetlenia, który może być w miarę potrzeb uzupełniany przez wybór oświetlenia punktowego. Lampy wiszące mogą być umieszczane na różnych wysokościach z opcją ustawienia ich sposobu padania światła. Proponowane klosze są duże lub mniejsze, dostępne są w kilku sposobach wykonania, przy wykorzystaniu różnych materiałów. Mają odmienne kolory, jak również różną stylistykę, swoim charakterem dopasowaną do potrzeb różnych pomieszczeń, w których lampy umieszcza się na suficie (lampy sufitowe). Sprawdzają się w pokojach dziennych, w kuchni, salonie, sypialni, gabinecie oraz w pomieszczeniach użyteczności publicznej typu: banki, restauracje, sale szkoleniowe, szkoły, itd. Ich stylistyka oraz wykorzystany podczas ich produkcji materiał może być idealnie dobierany do stylu wnętrza, w jakim mają być wykorzystane. Bogata oferta prezentowana w tej kategorii daje ku temu najlepsze warunki.
12;1;LAMPY STOJĄCE;Home;0;Decyzja o zakupie lampy stojącej wiąże się przede wszystkim z pytaniem, gdzie byłaby ona zlokalizowana i jak dużą przestrzeń powinna doświetlić. Jeden typ lampy będzie pasował do niewielkich pomieszczeń, inny do sporych rozmiarów wnętrz lub łączonych obszarów domu typu salon i aneks kuchenny, czy jadalnia i kuchnia. Naszym klientom oferujemy również propozycje zaprojektowane pod doświetlenie większej przestrzeni lub takie, które dadzą nastrojowe światło punktowe, które ma na celu oświetlić jedynie wydzieloną przestrzeń do nauki czy relaksu. Bogaty wybór wiąże się w takim wypadku z różnorodną ilością punktów światła, ruchomością ramienia, możliwością regulacji wysokości czy też materiałem, z którego zostały wykonane poszczególne modele. Inne bowiem światło będą oddawały klosze wykonane ze szkła czy metalu, a inne tkaninowe abażury. Dodatkowo, oprócz elementu wizualnego w postaci materiału, ważne w wyborze lampy podłogowej jest jej kolorystyka. Tutaj również posiadamy bogaty asortyment, więc wyboru dokonać można spośród eleganckiej barwy mosiądzu czy czerni, poprzez modernistyczną biel i chrom.
13;1;LAMPY STOŁOWE;Home;0;LUMINA DECO jest miejscem, w którym bardzo dużą uwagę przykładamy do jakości oraz różnorodności. Zależy nam, by oferowane przez nas produkty oświetleniowe dopasowywały się do swoich użytkowników. Dzieje się tak między innymi w przypadku lamp stołowych, których wyboru można dokonać wśród wielu przeróżnych modeli, cechujących się wyrafinowaniem, elegancją lub niepowtarzalną kreatywnością. Doboru dokonujemy według szeregu kryteriów, jednak zasadniczym jest miejsce, w którym lampa będzie miała oddawać swoje światło. Dlatego też do ogólnego wyglądu wnętrza dobierzemy model pasujący stylem, kolorystyką, kształtem i rozmiarem lub pod lupę weźmiemy jedną, mocno charakterystyczną cechę ze wszystkich wymienionych. Część lamp oddaje swoje światło całościowo, przede wszystkim lampy stołowe z abażurami, lub punktowo, co dzieję się w przypadku lamp o kopułowym kloszu wykonanym z metalu, który ogranicza przedostawanie się większej ilości światła dookoła. Tego typu lampy biurkowe doskonale sprawdzą się w biurach czy gabinetach, a także pokojach młodzieżowych, gdzie warto zadbać o mocne światło do pracy i nauki. Z kolei lampki nocne dające rozproszone światło będą idealne w sypialniach, salonach czy jadalniach, a także na stolikach restauracyjnych i kawiarnianych.
14;1;LAMPY ŚCIENNE;Home;0;Rodzaj oświetlenia domu czy lokali użytkowych dzieli się na różne typy, więc wyróżniamy przede wszystkim oświetlenie główne oraz lampy o charakterze pomocniczym, do których należą lampy ścienne. Są specyficznym typem produktów, montowane są zazwyczaj do ścian w miejscach, w których niezbędne jest zamontowanie dodatkowych punktów świetlnych. Ich montaż staje się niezbędny przede wszystkim w pokojach dziennych, jadalniach i kuchniach, jak również w kawiarniach, hotelach czy restauracjach. Jako oświetlenie główne mogą, choć nie muszą występować w przedpokojach i korytarzach. W zależności od tego, ile światła daje oświetlenie główne pomieszczenia, a ile dla użytkownik jest niezbędne, należy dobrać takie lampy ścienne, by odpowiadały tym wymaganiom. Nasz sklep oferuje kinkiety w dużych oraz standardowych rozmiarach, zarówno z jednym, jak i wieloma źródłami światła. Materiał wykonania danej lampy również nie jest bez znaczenia, gdyż szklane, przezroczyste klosze z pewnością dadzą bardziej wyraziste światło, z kolei tkaninowe abażury zapewnią romantyczną, stonowaną poświatę. Kolorystyka lamp ściennych w LUMINA DECO jest przeróżna – od stonowanego złota, srebra czy czerni, po ekspresyjną czerwień. Doskonale wspomaga to proces zakupu i doboru lampy odpowiedniej pod każdym względem do konkretnego pomieszczenia.
15;1;LOFTY;Home;0;Lampy w stylu loftowym przeżywają obecnie swój swoisty renesans. Inspirowane oświetleniem umieszczanym niegdyś w fabrykach i magazynach, na stale zagościły w naszych salonach, kuchniach, sypialniach, a także i w barach, restauracjach i lokalach komercyjnych. Lampy wiszące industrialne charakteryzują się najczęściej surowym, minimalistycznym wykończeniem. Wnętrza w stylu loft, z pozoru zimne i nieprzytulne, w rzeczywistości okazują się być wyjątkowo estetyczne, stylowe, funkcjonalne i co najważniejsze - komfortowe. Dominujące materiały występujące w tego typu stylizacjach to metal i szkło. Oferujemy państwu nie tylko lampy wiszące i sufitowe, ale także kinkiety w stylu loft - będą one dopełnieniem wystroju oraz podkreśleniem wyjątkowego charakteru wnętrza. Styl industrialny szczególnie dobrze odnajdzie się w nowoczesnych, funkcjonalnych pomieszczeniach z dużą przestrzenią do zagospodarowania.
16;1;ŻYRANDOLE NOWOCZESNE;ŻYRANDOLE;0;Wchodzisz do minimalistycznie zaprojektowanego wnętrza, a tam mimo że każdy element wydaje się prosty i oszczędny w formie, całość nabiera pięknego, przykuwającego spojrzenie charakteru. Tym sposobem tworzona jest atmosfera elegancji i szykowności zarazem. Nie tylko podkreślana przez meble, ale głównie przez elementy wykończenia tworzące nastrój: takie jak lampy. Żyrandole nowoczesne to oświetlenie sufitowe, które znajdą swoje miejsce nad stołem w jadalni, jak również w centralnym punkcje sufitu. Jako propozycje wiszące różnią się doborem kolorystyki oraz materiałów wykończenia. Najpopularniejszymi wśród nich są: aluminium, kryształ, metal, szkło oraz kolorowe abażury. Wśród propozycji poniższej kategorii znajdują się żyrandole nowoczesne z miejscem na jedną żarówkę oraz o kilku kloszach (z uwzględnieniem różnej mocy), dające bardziej rozproszone lub punktowe światło, gwarantujące uzyskanie wybranego przez siebie optymalnego efektu. Żyrandole nowoczesne to kategoria, w której odnajdą Państwo lampy do pokoju dziennego, jadalni, kuchni oraz każdego innego miejsca w domu, w którym zależy Wam na uzyskaniu pięknego efektu stylistycznego.
17;1;ŻYRANDOLE KLASYCZNE;ŻYRANDOLE;0;Klasyka nie jest jednoznaczna w swoim wydaniu. Ze względu na to, że ta kategoria jest bardzo pojemna, może pogodzić standardy wyznawane na różnych etapach zmian w sztuce oraz metod w projektowaniu wyposażenia domu. Jest to zauważalne również w przygotowanej przez nas dla Państwa propozycji. Żyrandole klasyczne to lampy idealne do każdego wnętrza, do minimalistycznego domu, w którym tworzą oryginalny akcent, jak również do pomieszczeń, w których czuć ducha historii, dopełniającego stworzony projekt oraz w naturalny sposób wypełniającego miejsce na suficie. Żyrandole klasyczne to obok kilku połączonych ze sobą kloszy w zestawieniu z pięknie odbijającymi światło kryształkami oraz kolorami nawiązującymi do najcenniejszych metali szlachetnych również proste jednego koloru zwisające abażury o opływowych geometrycznych kształtach. Wśród propozycji znajdują się również żyrandole z motywami kwiatowymi, które doskonale pasują do wnętrz w stylu angielskim, rodem z XIX wiecznej angielskiej wsi. Które z nich wybierzesz do swojego domu?
18;1;LAMPY WISZĄCE;LAMPY WISZĄCE;0;Wnętrza nowoczesne wymagają specjalnego oświetlenia, które nie tylko podkreśli charakter danego pomieszczenia, ale również przykuje uwagę samo w sobie. Nowoczesne lampy wiszące mogą być jedyne w swoim rodzaju, niczym prawdziwy majstersztyk, w którym poprzez redukcję zdobień osiągnięto niespodziewany efekt piękna. Piękno to bowiem gra kolorów, faktur, zaskakujący dobór materiałów oraz rozwiązań, które poza rolą użytkową, spełniają również funkcję dekoracyjną. To rozwiązania, które sprawiają wrażenie oryginalnych, niebanalnych w swoim projekcie i wykonaniu. Tak jak lampy wiszące zebrane dla Państwa w tej kategorii. Poniżej znajdują Państwo zróżnicowane propozycje, które są w stanie odpowiedzieć na potrzeby osób o różnych wymaganiach i gustach, jak również stworzone do tego, by sprawdzić się we wnętrzach zaprojektowanych w różnym stylu i przy wykorzystaniu odmiennych materiałów. Porównaj ciekawe kolory, interesujące kształty, faktury, sposób połączenia materiałów, metody oświetlenia wnętrz i wybierz, który z nich będzie gościł na stałe w Twoim wnętrzu.
19;1;LAMPY SUFITOWE;LAMPY WISZĄCE;0;Sufit to nie musi być biały nudny obszar, na którym nie warto zawiesić spojrzenia. To właśnie nad głowami najczęściej bowiem umieszcza się lampy sufitowe, które pozwalają skutecznie ozdobić każde wnętrze, nadając mu niepowtarzalnego charakteru, a jednocześnie wprowadzając do niego nastrój pozwalający poczuć się w danym miejscu dobrze. Lampy sufitowe, niezależnie od rodzaju pomieszczenia, mogą być planowane w centralnym miejscu na suficie, jak również nad stołem lub innymi ważnymi obszarami w pomieszczeniu. Za ich pośrednictwem można wydzielać w większym wnętrzu strefy, które będą służyły do różnych celów. W ten sposób tuż obok siebie, dla osiągnięcia nowoczesnego efektu, a jednocześnie gry barw, można zaplanować dwie lampy o kloszach o różnych kolorach. Wyobraźnia najlepszych projektantów właściwie nie zna granic, o czym przekonują propozycje prezentowane w tym dziale: proste lub ciekawie zdobione, jednolite kolorystyczne lub jako zestawienie kilku barw, o rozmaitych mocach oraz różnym sposobie rozpraszania światła. Które będą spełniać swoją rolę u Państwa w domu, biurze lub w innym wnętrzu? Zapraszamy do przejrzenia naszej oferty!
